minor_gid;major_id;minor_id;minor_name;registered_voters;votes
1307;53;7;Reškutėnų;298;181
1308;53;8;Grybėnų;171;69
1309;53;8;Trūdų;648;368
1310;53;9;Ignalinos Centro;3840;1900
1311;53;9;Zadvarninkų;623;335
1312;53;10;Ignalinos;1383;698
1313;53;10;Milkuškų;384;187
1314;53;11;Kaniūkų;471;229
1315;53;11;Stanislavavo;287;171
1316;53;12;Kazitiškio;594;286
1317;53;12;Šventos;502;318
1318;53;13;Bačkininkų;358;181
1319;53;13;Kazokinės;794;446
1320;53;14;Linkmenų;678;389
1321;53;14;Svirkų;542;275
1322;53;15;Adutiškio;767;451
1323;53;15;Mažėnų;278;159
1324;53;16;Jakelių;265;190
1325;53;16;Meikštų;386;219
1326;53;17;Mielagėnų;446;275
1327;53;18;N.Daugėliškio;513;266
1328;53;19;Švenčionių;2225;1184
1329;53;20;Liepų;2322;1032
1330;53;20;Rimšės;655;303
1331;53;21;Cirkliškio;864;456
1332;53;21;Rubelninkų;179;103
1333;53;22;Strigališkio;735;391
1334;53;23;Šiūlėnų;396;238
1335;53;24;Švedriškės;238;114
1336;53;25;Taujūnų;298;205
1337;53;26;Pavoverės;775;272
1338;53;26;Tverečiaus;614;311
1339;53;27;Sarių;472;260
1340;53;27;Vidiškių;1135;479
1341;53;28;Strūnaičio;507;298
1342;53;29;Vidutinės;663;303
1343;54;1;Alantos;931;456
1344;54;1;Švenčionėlių;2523;1203
1345;54;2;Ateities;2643;1335
1346;54;2;Žalvarių;514;230
1347;54;3;Balninkų;438;212
1348;54;3;Kaltanėnų;490;313
1349;54;4;Bekupės;453;195
1350;54;4;Labanoro;177;120
1351;54;5;Bijutiškio;379;189
1352;54;5;Lakajos;160;92
1353;54;6;Čiulėnų;859;369
1354;54;7;Dapkūniškių;281;135
1355;54;8;Dubingių;537;230
1356;54;9;Giedraičių;972;437
1357;54;10;Girsteitiškio;261;92
1358;54;11;Inturkės;888;363
1359;54;12;Joniškio;1306;323
1360;54;13;Miežonių;399;161
1361;54;14;Levaniškių;474;265
1362;54;15;Luokesos;1444;551
1363;54;16;Mindūnų;489;245
1364;54;17;Pabradės;1920;598
1365;54;17;Siesarties;2590;1287
1366;54;18;Kranto;2953;1127
1367;54;18;Liepų;2881;1391
1368;54;19;Naujasodžio;803;367
1369;54;20;Skudutiškio;433;205
1370;54;21;Suginčių;580;253
1371;54;22;Magūnų;379;188
1372;54;22;Videniškių;705;358
1373;54;23;Prienų;371;238
1374;54;23;Vorėnų;331;158
1375;54;24;Karkažiškės;559;172
1376;54;24;Verbiškių;406;190
1377;54;25;Padubingės;245;102
1378;55;1;Avižienių;1910;1002
1379;55;1;Širvintų m.;2974;1402
1380;55;2;I.Šeiniaus;3359;1758
1381;55;2;Riešės;1384;800
1382;55;3;Buivydžių;937;572
1383;55;3;Juodiškių;443;212
1384;55;4;Alionių;440;234
1385;55;4;Buivydiškių;3677;2144
1386;55;5;Čiobiškio;498;214
1387;55;5;Platiniškių;668;341
1388;55;6;Čekoniškių;805;377
1389;55;6;Virvyčių;291;138
1390;55;7;Bagaslaviškio;453;198
1391;55;8;Gelvonų;535;235
1392;55;9;Liukonių;388;185
1393;55;10;Bartkuškio;444;145
1394;55;11;Šiaulių;469;210
1395;55;12;Medžiukų;689;317
1396;55;13;Dūkštų;770;490
1397;55;13;Kernavės;424;215
1398;55;14;Geisiškių;615;425
1399;55;14;Musninkų;726;356
1400;55;15;Vileikiškių;320;147
1401;55;16;Alekniškio;281;119
1402;55;17;Družų;513;172
1403;55;18;Motiejūnų;282;151
1404;55;19;Širvintų kaimiškoji;775;378
1405;55;20;Anciūnų;379;157
1406;55;20;Maišiagalos;1527;725
1407;55;21;Karvio;799;439
1408;55;21;Kiauklių;248;141
1409;55;22;Šešuolėlių;554;225
1410;55;23;Viesų;174;93
1411;55;24;Kielių;357;187
1412;55;30;Rudausių;836;400
1413;55;32;Eitminiškių;697;338
1414;55;33;Paberžės;1859;783
1415;55;34;Glitiškių;732;334
1416;55;35;Visalaukės;673;262
1417;55;36;Didžiosios Riešės;2509;1542
1418;55;37;Pikeliškių;1377;751
1419;55;44;Sudervės;1728;954
1420;55;45;Sužionių;667;366
1421;55;46;Veriškių;637;375
1422;55;47;Skirlėnų;503;286
1423;55;53;Bukiškio;1306;762
1424;55;54;Kreivalaužių;841;380
1425;56;1;Šalčininkų;2700;1121
1426;56;2;Centrinė miesto;2675;1165
1427;56;3;Parko;1368;538
1428;56;4;Šalčininkėlių;848;361
1429;56;5;Zavišonių;654;255
1430;56;6;Gerviškių;460;255
1431;56;7;Bezdonių;1881;880
1432;56;7;Tribonių;317;174
1433;56;8;Sėlų;499;305
1434;56;9;Čiužiakampio;642;329
1435;56;15;Pakenės;821;468
1436;56;16;Kalvelių;1795;843
1437;56;17;Šumsko;1345;740
1438;56;18;Mostiškių;830;461
1439;56;19;Lavoriškių;1286;722
1440;56;20;Jašiūnų;2484;1042
1441;56;21;Geležinkelio;433;174
1442;56;22;Keidžių;304;159
1443;56;23;Rūdninkų;513;275
1444;56;24;Baltosios Vokės;1060;641
1445;56;24;Mickūnų;2775;1104
1446;56;25;Galgių;1229;561
1447;56;25;Turgelių;1144;673
1448;56;26;Medininkų;1126;648
1449;56;26;Skynimų;448;277
1450;56;27;Tabariškių;551;276
1451;56;28;Akmenynės;780;525
1452;56;29;Kabiškių;878;462
1453;56;29;Poškonių;738;422
1454;56;30;Dieveniškių;1084;532
1455;56;31;Krakūnų;226;107
1456;56;32;Jurgelionių;187;125
1457;56;33;Milkūnų;460;219
1458;56;34;Baušių;440;183
1459;56;36;Šarkaičių;192;109
1460;56;41;Rukainių;1478;1007
1461;56;42;Senasalio;365;267
1462;56;43;Savičiūnų;695;456
1463;56;51;Nemenčinės;2460;1083
1464;56;52;Neries;2170;1035
1465;56;55;Rakonių;716;399
1466;57;1;Lentvario;3108;1324
1467;57;2;Klevų;4458;2137
1468;57;8;Baltosios Vokės;1414;499
1469;57;9;Pagirių;3381;1453
1470;57;10;Keturiasdešimties Totorių;1097;440
1471;57;11;Grigaičių;1285;744
1472;57;12;Kyviškių;1156;632
1473;57;22;Marijampolio;1059;566
1474;57;23;Parudaminio;824;386
1475;57;27;Nemėžio;3244;1371
1476;57;28;Skaidiškių;4046;1307
1477;57;30;Senojo Tarpupio;292;153
1478;57;31;Senųjų Trakų;1627;799
1479;57;32;Šventininkų;308;180
1480;57;38;Rudaminos;3757;1878
1481;57;39;Kalviškių;966;501
1482;57;40;Valčiūnų;2029;772
1483;57;43;Lauko;2167;1130
1484;57;48;Mažųjų Lygainių;392;268
1485;57;49;Juodšilių;2003;1062
1486;57;50;Melioratorių;3409;1390
1487;57;451;Salininkų;1907;625
1488;58;3;Trakų m.;2160;1084
1489;58;5;Ausieniškių;1043;262
1490;58;6;Balceriškių;1383;405
1491;58;7;Beižionių;303;150
1492;58;8;Daugirdiškių;328;76
1493;58;9;Kazokiškių;431;205
1494;58;10;Ismonių;255;94
1495;58;10;Pastrėvio;667;231
1496;58;11;Semeliškių;716;263
1497;58;11;Tiltų;442;264
1498;58;12;Rūdiškių;2284;1062
1499;58;12;Vievio;4122;1722
1500;58;13;Šklėrių;450;187
1501;58;14;Aukštadvario;1150;699
1502;58;15;Čižiūnų;445;194
1503;58;16;Karapolio;208;120
1504;58;17;Grendavės;613;281
1505;58;21;Rykantų;1276;384
1506;58;22;Dusmenų;402;194
1507;58;23;Onuškio;1064;461
1508;58;24;Vaickūniškių;414;175
1509;58;25;Kauno Vokės;3163;1228
1510;58;25;Paluknio;1014;539
1511;58;26;Kunigiškių;2924;1106
1512;58;27;Bijūnų;396;210
1513;58;27;Šviesos;3320;1138
1514;58;33;Bražuolės;696;230
1515;58;34;Žaizdrių;994;397
1516;58;35;Jovariškių;334;138
1517;58;40;Salkininkų;354;118
1518;58;41;Birutės;2351;1249
1519;58;42;Bagdononių;317;86
1520;59;1;Draugystės;2444;1086
1521;59;1;Vytauto;1171;515
1522;59;2;Gedimino;1690;869
1523;59;2;Saulės;4125;1794
1524;59;3;Girelės;2839;1308
1525;59;3;Sodų;2336;1183
1526;59;4;Lomenos;2275;1056
1527;59;4;Versmės;2710;1099
1528;59;5;Kruonio;1189;476
1529;59;6;Kalvių;592;254
1530;59;7;Vilūnų;533;254
1531;59;8;Darsūniškio;469;208
