minor_gid;major_id;minor_id;minor_name;registered_voters;votes
1814;67;26;Žagarių;296;200
1815;67;29;Pakuonio;897;556
1816;67;30;Kudirkų;238;176
1817;67;31;Vyšniūnų;865;625
1818;67;32;Užuguosčio;542;324
1819;67;33;Pieštuvėnų;710;413
1820;67;34;Stakliškių;1009;649
1821;68;1;Vilkaviškio  rytų;2785;2090
1822;68;2;Vilkaviškio pietų;2487;1855
1823;68;3;Apylinkė Nr. 3;2290;1805
1824;68;4;Apylinkė Nr. 4;2669;2173
1825;68;5;Kybartų rytų;2432;1697
1826;68;6;Kybartų vakarų;2679;2020
1827;68;7;Virbalio;1116;886
1828;68;8;Aistiškių;442;288
1829;68;9;Bartninkų;525;374
1830;68;10;Lakštučių;479;300
1831;68;11;Apylinkė Nr. 11;351;261
1832;68;12;Piliakalnių;297;231
1833;68;13;Gižų;778;481
1834;68;14;Bačkiškių;457;317
1835;68;15;Karklinių;621;404
1836;68;16;Keturvalakių;364;274
1837;68;17;Gudkaimio;579;418
1838;68;18;Lauckaimio;336;264
1839;68;19;Matlaukio;626;395
1840;68;20;Šiaudiniškių;294;210
1841;68;21;Vilkupių;175;141
1842;68;22;Virbalio kaimiškoji;604;380
1843;68;23;Daržininkų;468;341
1844;68;24;Klausučių;631;356
1845;68;26;Karalkrėslio;511;376
1846;68;27;Pajevonio;779;552
1847;68;28;Alksnėnų;382;233
1848;68;28;Pilviškių;2316;1615
1849;68;28;Sūdavos;854;608
1850;68;29;Opšrūtų;359;219
1851;68;30;Paežerių;573;391
1852;68;32;Ramoniškių;509;335
1853;68;33;Alvito;1285;784
1854;68;34;Karalių;1615;1088
1855;68;35;Klampučių;405;245
1856;68;36;Serdokų;446;275
1857;68;37;Uosių;749;502
1858;68;38;Gražiškių;592;367
1859;68;39;Kaupiškių;412;185
1860;68;40;Vištyčio;943;499
1861;68;41;Vartų;208;127
1862;68;42;Pūstapėdžių;293;223
1863;68;43;Slabadų;303;240
1864;69;2;Praniūnų;677;374
1865;69;3;Genių;424;335
1866;69;4;Miklusėnų;585;420
1867;69;6;Alytaus;2069;1590
1868;69;6;Luksnėnų;544;388
1869;69;7;Radžiūnų;792;522
1870;69;9;Domantonių;862;476
1871;69;9;Miroslavo;893;607
1872;69;10;Pupasodžio;687;479
1873;69;12;Apylinkė Nr. 12;2624;2014
1874;69;12;Daugų;812;549
1875;69;12;Parėčėnų;455;317
1876;69;12;Putinų;1491;947
1877;69;13;Alytaus;2530;1940
1878;69;13;Kančėnų;737;522
1879;69;14;Alytaus;1413;925
1880;69;14;Kumečių;541;371
1881;69;14;Rimėnų;528;395
1882;69;15;Alytaus;1323;1027
1883;69;15;Vankiškių;698;457
1884;69;16;Simno;1384;1072
1885;69;17;Apylinkė Nr. 17;1068;706
1886;69;17;Mergalaukio;439;325
1887;69;18;Kalesninkų;459;236
