minor_gid,major_id,minor_id,minor_name,registered_voters,votes
662780,59,18,Žaslių,719,335
662782,59,19,Pajautiškių,457,170
662786,59,31,Liutonių,682,236
662788,65,5,Pagynės,623,255
662790,65,6,Panevėžiuko,1018,396
662792,65,7,Čekiškės,794,388
662794,65,8,Liučiūnų,596,225
662796,65,9,Domeikavos,1707,904
662798,65,11,Voškonių,853,340
662800,65,12,Lapių,1881,852
662802,35,9,Gimnazijos,1186,515
662804,46,35,Drąsutaičių,129,47
662806,46,36,Pošupių,218,91
662810,12,23,Visorių,4162,2670
662812,13,217,Tarandės,2017,1272
662814,8,313,I. Kanto,3663,1957
662816,37,40,Bajorų,1511,516
662818,36,32,Karklės,1215,567
663014,5,68,Gerviškių,2061,1256
663026,3,113,Valakupių,2585,1529
663028,3,122,Kairėnų,1959,1070
663030,4,167,S. Žukausko,2392,1612
663032,4,168,Žygio,2871,1518
663034,12,199,Žaliųjų Ežerų,2040,1013
663036,13,218,Perkūnkiemio,3514,1695
663038,13,219,Grigalaukio,2418,1465
663040,2,409,Gerosios Vilties,3074,1298
663058,70,30,Dzūkų,2693,1271
663062,51,29,Senamiesčio,1803,947
663064,51,32,Sodų,1383,569
663096,71,70,Ambasada Jungtiniuose Arabų Emyratuose,130,55
